import time: self [us] | cumulative | imported package
import time:    110923 |     110923 |         aiogram.types.input_profile_photo_union
import time:     81405 |      81405 |         aiogram.types.input_sticker
import time:    118102 |     118102 |         aiogram.types.input_story_content
import time:     79551 |      79551 |         aiogram.types.input_story_content_photo
import time:    157160 |     157160 |           aiogram.types.input_story_content_video
import time:    104534 |     261694 |         aiogram.types.input_story_content_union
import time:     75757 |      75757 |         aiogram.types.invoice
import time:    185056 |     185056 |         aiogram.types.keyboard_button
import time:    165840 |     165840 |         aiogram.types.keyboard_button_poll_type
import time:    133369 |     133369 |         aiogram.types.keyboard_button_request_chat
import time:     91039 |      91039 |         aiogram.types.keyboard_button_request_user
import time:    121214 |     121214 |         aiogram.types.keyboard_button_request_users
import time:    137806 |     137806 |         aiogram.types.labeled_price
import time:     96480 |      96480 |         aiogram.types.link_preview_options
import time:    124018 |     124018 |         aiogram.types.location
import time:     53189 |      53189 |         aiogram.types.location_address
import time:     67042 |      67042 |         aiogram.types.login_url
import time:     71303 |      71303 |         aiogram.types.mask_position
import time:      1002 |       1002 |                 html.entities
import time:      7326 |       8327 |               html
import time:     88380 |      96706 |             aiogram.utils.text_decorations
import time:    105171 |     201876 |           aiogram.types.message
import time:    115012 |     316888 |         aiogram.types.maybe_inaccessible_message_union
import time:     58991 |      58991 |         aiogram.types.media_union
import time:     49636 |      49636 |         aiogram.types.menu_button
import time:     87058 |      87058 |         aiogram.types.menu_button_commands
import time:    111576 |     111576 |         aiogram.types.menu_button_default
import time:     67269 |      67269 |           aiogram.types.menu_button_web_app
import time:    124291 |     191560 |         aiogram.types.menu_button_union
import time:     53012 |      53012 |         aiogram.types.message_auto_delete_timer_changed
import time:     29320 |      29320 |         aiogram.types.message_entity
import time:     68135 |      68135 |         aiogram.types.message_id
import time:     68454 |      68454 |         aiogram.types.message_origin
import time:    127331 |     127331 |         aiogram.types.message_origin_channel
import time:     52547 |      52547 |         aiogram.types.message_origin_chat
import time:     74202 |      74202 |         aiogram.types.message_origin_hidden_user
import time:     36291 |      36291 |           aiogram.types.message_origin_user
import time:    100095 |     136386 |         aiogram.types.message_origin_union
import time:     28298 |      28298 |         aiogram.types.message_reaction_count_updated
import time:     50363 |      50363 |         aiogram.types.message_reaction_updated
import time:    115598 |     115598 |         aiogram.types.order_info
import time:    138937 |     138937 |         aiogram.types.owned_gift
import time:    725669 |     725669 |         aiogram.types.owned_gift_regular
import time:    115544 |     115544 |           aiogram.types.owned_gift_unique
import time:     77080 |     192624 |         aiogram.types.owned_gift_union
import time:    116622 |     116622 |         aiogram.types.owned_gifts
import time:    118084 |     118084 |         aiogram.types.paid_media
import time:     61912 |      61912 |         aiogram.types.paid_media_info
import time:     80860 |      80860 |         aiogram.types.paid_media_photo
import time:    116684 |     116684 |         aiogram.types.paid_media_preview
import time:     81567 |      81567 |         aiogram.types.paid_media_purchased
import time:     60182 |      60182 |           aiogram.types.paid_media_video
import time:     68852 |     129033 |         aiogram.types.paid_media_union
import time:     62974 |      62974 |         aiogram.types.paid_message_price_changed
import time:    145952 |     145952 |         aiogram.types.passport_data
import time:    117022 |     117022 |         aiogram.types.passport_element_error
import time:    126482 |     126482 |         aiogram.types.passport_element_error_data_field
import time:    111793 |     111793 |         aiogram.types.passport_element_error_file
import time:     74763 |      74763 |         aiogram.types.passport_element_error_files
import time:    104375 |     104375 |         aiogram.types.passport_element_error_front_side
import time:    110240 |     110240 |         aiogram.types.passport_element_error_reverse_side
import time:     83064 |      83064 |         aiogram.types.passport_element_error_selfie
import time:     82257 |      82257 |         aiogram.types.passport_element_error_translation_file
import time:     72655 |      72655 |         aiogram.types.passport_element_error_translation_files
import time:     65283 |      65283 |           aiogram.types.passport_element_error_unspecified
import time:     96209 |     161491 |         aiogram.types.passport_element_error_union
import time:     33094 |      33094 |         aiogram.types.passport_file
import time:    140010 |     140010 |         aiogram.types.photo_size
import time:     78838 |      78838 |         aiogram.types.poll
import time:     71723 |      71723 |         aiogram.types.poll_answer
import time:     76407 |      76407 |         aiogram.types.poll_option
import time:    103747 |     103747 |         aiogram.types.pre_checkout_query
import time:    158652 |     158652 |         aiogram.types.prepared_inline_message
import time:    100077 |     100077 |         aiogram.types.proximity_alert_triggered
import time:     37721 |      37721 |         aiogram.types.reaction_count
import time:     32127 |      32127 |         aiogram.types.reaction_type
